S.No.		UD		AnnCorra
1932 		 aux 		 lwg_vaux
1933 		 aux:pass 		 lwg_vaux
1934 		 punct 		 rsym
1935 		 start2 		 start2
1936 		 start1 		 start1
1937 		 det 		 mod_wq
1938 		 obl 		 k1
1939 		 case 		 lwg__psp
1940 		 nsubj 		 k1
1941 		 advcl 		 lwg__psp
1942 		 aux 		 r6
1943 		 aux:pass 		 lwg_vaux
1944 		 punct 		 rsym
1945 		 compound 		 pof__cn
1946 		 root 		 root
1947 		 aux 		 lwg_vaux
1948 		 aux:pass 		 lwg_vaux
1949 		 punct 		 rsym
1950 		 start2 		 start2
1951 		 start1 		 start1
1952 		 nmod 		 nmod__adj
1953 		 case 		 k1
1954 		 nsubj 		 k1
1955 		 obl 		 nmod__adj
1956 		 case 		 k1s
1957 		 case 		 main
1958 		 root 		 root
1959 		 aux 		 lwg_vaux
1960 		 aux:pass 		 lwg_vaux
1961 		 punct 		 rsym
1962 		 start2 		 start2
1963 		 start1 		 start1
1964 		 nummod 		 enm
1965 		 nmod 		 nmod_adj
1966 		 case 		 k2u
1967 		 nsubj 		 lwg_psp
1968 		 advcl 		 lwg_psp
1969 		 punct 		 rsym
1970 		 mark 		 pof__cn
1971 		 amod 		 pof__cn
1972 		 nmod 		 pof__cn
1973 		 case 		 pof__cn
1974 		 compound 		 pof__cn
1975 		 root 		 root
1976 		 punct 		 rsym
1977 		 start2 		 start2
1978 		 start1 		 start1
1979 		 nsubj 		 k1
1980 		 case 		 nmod__adj
1981 		 acl 		 k1s
1982 		 aux 		 main
1983 		 nsubj 		 k1
1984 		 case 		 lwg__psp
1985 		 obl 		 r6
1986 		 case 		 lwg__psp
1987 		 nsubj 		 k1
1988 		 obj 		 lwg__psp
1989 		 root 		 root
1990 		 punct 		 rsym
1991 		 start2 		 start2
1992 		 start1 		 start1
1993 		 obl 		 nmod__adj
1994 		 case 		 k1
1995 		 root 		 root
1996 		 advmod 		 lwg_vaux
1997 		 mark 		 k1
1998 		 obl 		 lwg__psp
1999 		 case 		 r6
2000 		 case 		 lwg__psp
2001 		 compound 		 nmod__adj
2002 		 nsubj 		 k1
2003 		 aux 		 lwg__psp
2004 		 aux:pass 		 lwg_vaux
2005 		 nsubj 		 k1
2006 		 punct 		 rsym
2007 		 nsubj 		 k1
2008 		 punct 		 rsym
2009 		 nummod 		 enm
2010 		 nmod 		 nmod_adj
2011 		 case 		 k2u
2012 		 compound 		 lwg_psp
2013 		 advcl 		 lwg_psp
2014 		 conj 		 ccof
2015 		 aux 		 lwg__vaux
2016 		 cc 		 k1
2017 		 obl 		 lwg__psp
2018 		 nummod 		 enm
2019 		 obl 		 nmod_adj
2020 		 case 		 k2u
2021 		 obj 		 lwg_psp
2022 		 advmod 		 lwg_psp
2023 		 conj 		 ccof
2024 		 punct 		 rsym
2025 		 start2 		 start2
2026 		 start1 		 start1
2027 		 nsubj 		 k1
2028 		 case 		 nmod__adj
2029 		 det 		 mod_wq
2030 		 nsubj 		 k1
2031 		 xcomp 		 k2
2032 		 root 		 root
2033 		 aux 		 lwg_vaux
2034 		 cc 		 k1
2035 		 nmod 		 lwg__psp
2036 		 compound 		 r6
2037 		 conj 		 ccof
2038 		 aux 		 lwg__psp
2039 		 mark 		 nmod__adj
2040 		 nmod 		 nmod__adj
2041 		 case 		 pof__cn
2042 		 compound 		 k1
2043 		 acl 		 lwg__psp
2044 		 aux 		 r6
2045 		 punct 		 rsym
2046 		 cc 		 k1
2047 		 amod 		 nmod__adj
2048 		 nmod 		 k1s
2049 		 cc 		 k1
2050 		 amod 		 lwg__psp
2051 		 conj 		 ccof
2052 		 case 		 main
2053 		 obj 		 start2
2054 		 advcl 		 start1
2055 		 obj 		 nmod__adj
2056 		 nsubj 		 k1
2057 		 mark 		 lwg__psp
2058 		 conj 		 ccof
2059 		 aux 		 main
2060 		 punct 		 rsym
2061 		 start2 		 start2
2062 		 start1 		 start1
2063 		 mark 		 nmod__adj
2064 		 punct 		 rsym
2065 		 obl 		 r6-k2
2066 		 nsubj 		 lwg__psp
2067 		 case 		 pof
2068 		 obl 		 main
2069 		 case 		 lwg__vaux
2070 		 compound 		 start2
2071 		 root 		 root
2072 		 cc 		 k1
2073 		 nmod 		 lwg__psp
2074 		 case 		 r6
2075 		 nsubj 		 k1
2076 		 conj 		 ccof
2077 		 aux 		 main
2078 		 punct 		 rsym
2079 		 start2 		 start2
2080 		 start1 		 start1
2081 		 nsubj 		 k1
2082 		 case 		 nmod__adj
2083 		 compound 		 k1s
2084 		 advcl 		 main
2085 		 root 		 root
2086 		 punct 		 rsym
2087 		 nsubj 		 k1
2088 		 obj 		 nmod__adj
2089 		 aux 		 k1s
2090 		 mark 		 main
2091 		 advmod 		 start2
2092 		 punct 		 rsym
2093 		 nsubj 		 k1
2094 		 nmod 		 nmod__adj
2095 		 compound 		 k1s
2096 		 obj 		 main
2097 		 aux 		 start2
2098 		 punct 		 rsym
2099 		 start2 		 start2
2100 		 start1 		 start1
2101 		 cc 		 k1
2102 		 nsubj 		 k1
2103 		 nmod 		 nmod__adj
2104 		 dep 		 k1s
2105 		 compound 		 main
2106 		 root 		 root
2107 		 punct 		 rsym
2108 		 cc 		 k1
2109 		 nsubj 		 k1
2110 		 nsubj 		 k1
2111 		 dep 		 nmod__adj
2112 		 advmod 		 k1s
2113 		 conj 		 ccof
2114 		 aux 		 main
2115 		 punct 		 rsym
2116 		 start2 		 start2
2117 		 start1 		 start1
2118 		 advcl 		 rh
2119 		 punct 		 rsym
2120 		 obl 		 pof__cn
2121 		 dep 		 pof__cn
2122 		 nmod 		 pof__cn
2123 		 case 		 pof__cn
2124 		 nmod 		 pof__cn
2125 		 case 		 pof__cn
2126 		 compound 		 pof__cn
2127 		 root 		 root
2128 		 punct 		 rsym
2129 		 nsubj 		 k1
2130 		 case 		 nmod__adj
2131 		 compound 		 k1s
2132 		 advcl 		 main
2133 		 aux 		 start2
2134 		 conj 		 ccof
2135 		 nsubj 		 k1
2136 		 nmod 		 r6
2137 		 nmod 		 lwg__psp
2138 		 case 		 nmod__adj
2139 		 conj 		 ccof
2140 		 cop 		 k2
2141 		 punct 		 rsym
2142 		 nmod 		 start2
2143 		 case 		 start1
2144 		 det 		 mod_wq
2145 		 nmod 		 k1
2146 		 punct 		 rsym
2147 		 start2 		 start2
2148 		 start1 		 start1
2149 		 cc 		 k1
2150 		 obl 		 nmod__adj
2151 		 case 		 k1s
2152 		 advcl 		 main
2153 		 obj 		 start2
2154 		 root 		 root
2155 		 punct 		 rsym
2156 		 obl 		 pof__cn
2157 		 case 		 pof__cn
2158 		 case 		 pof__cn
2159 		 nmod 		 pof__cn
2160 		 obl 		 pof__cn
2161 		 case 		 pof__cn
2162 		 nsubj 		 k1
2163 		 compound 		 lwg__psp
2164 		 acl 		 r6
2165 		 aux 		 lwg__psp
2166 		 aux:pass 		 lwg_vaux
2167 		 punct 		 rsym
